timestamp,open,high,low,close,volume,Denominated_Coin_Volume
2025-08-16 19:00:00+08:00,3.1248,3.133,3.1236,3.1269,1538632.6,4814650.70393
2025-08-16 19:15:00+08:00,3.1269,3.1295,3.115,3.1157,2377694.8,7416716.14442
2025-08-16 19:30:00+08:00,3.1157,3.1216,3.1087,3.1103,2390965,7448169.90159
2025-08-16 19:45:00+08:00,3.1103,3.1155,3.1011,3.1029,2809156.5,8724854.12627
2025-08-16 20:00:00+08:00,3.1029,3.115,3.1026,3.1118,1995267.9,6204610.17096
2025-08-16 20:15:00+08:00,3.1118,3.1154,3.0964,3.1048,3600651,11175902.26248
2025-08-16 20:30:00+08:00,3.1048,3.1173,3.1048,3.1133,2396235,7458030.271
2025-08-16 20:45:00+08:00,3.1133,3.118,3.1075,3.1104,1661716,5173612.61868
2025-08-16 21:00:00+08:00,3.1104,3.118,3.1087,3.1171,1185087,3690572.42367
2025-08-16 21:15:00+08:00,3.1171,3.1257,3.1138,3.1155,2982923.7,9304985.38822
2025-08-16 21:30:00+08:00,3.1155,3.1192,3.1103,3.1127,1003578,3125754.69066
2025-08-16 21:45:00+08:00,3.1127,3.1134,3.0988,3.1058,6520572.7,20249343.03078
2025-08-16 22:00:00+08:00,3.1058,3.1086,3.098,3.1069,1768307.7,5485921.88053
2025-08-16 22:15:00+08:00,3.1069,3.1186,3.1006,3.1148,2378828.7,7398464.94782
2025-08-16 22:30:00+08:00,3.1148,3.1154,3.1065,3.1091,1237698.6,3849944.65658
2025-08-16 22:45:00+08:00,3.1091,3.1157,3.108,3.108,816006.8,2539329.9483
2025-08-16 23:00:00+08:00,3.108,3.1146,3.1009,3.1088,1221273.2,3794154.59752
2025-08-16 23:15:00+08:00,3.1088,3.1104,3.1034,3.1057,709909.8,2204856.9254
2025-08-16 23:30:00+08:00,3.1057,3.1069,3.098,3.1013,1286328.8,3990168.78683
2025-08-16 23:45:00+08:00,3.1013,3.104,3.0994,3.102,296401.8,919474.55025
2025-08-17 00:00:00+08:00,3.102,3.1111,3.1011,3.1071,635733.7,1975283.7557
2025-08-17 00:15:00+08:00,3.1071,3.1111,3.1051,3.1081,321339.1,998722.51066
2025-08-17 00:30:00+08:00,3.1081,3.1095,3.0938,3.0996,2571790.6,7967019.38453
2025-08-17 00:45:00+08:00,3.0996,3.1089,3.0971,3.1062,1372192.4,4256089.55912
2025-08-17 01:00:00+08:00,3.1062,3.1089,3.099,3.0994,474697.8,1473521.14021
2025-08-17 01:15:00+08:00,3.0994,3.1004,3.0949,3.0984,1031218.3,3194016.21492
2025-08-17 01:30:00+08:00,3.0984,3.0991,3.0923,3.0947,728349.7,2253980.81033
2025-08-17 01:45:00+08:00,3.0947,3.0987,3.0925,3.0943,485344.9,1502419.27157
2025-08-17 02:00:00+08:00,3.0943,3.103,3.0908,3.103,793289.7,2455505.64892
2025-08-17 02:15:00+08:00,3.103,3.1067,3.094,3.0983,747024.2,2316216.21862
2025-08-17 02:30:00+08:00,3.0983,3.1027,3.0966,3.0977,295679.3,916791.95416
2025-08-17 02:45:00+08:00,3.0977,3.1,3.0961,3.0973,211272.6,654436.69387
2025-08-17 03:00:00+08:00,3.0973,3.1006,3.0966,3.0975,179520,556250.74672
2025-08-17 03:15:00+08:00,3.0975,3.1016,3.0941,3.1011,1648371,5107019.25308
2025-08-17 03:30:00+08:00,3.1011,3.1064,3.1011,3.1034,550099.6,1707546.28147
2025-08-17 03:45:00+08:00,3.1034,3.1065,3.0984,3.0984,867895.9,2693196.98349
2025-08-17 04:00:00+08:00,3.0984,3.1005,3.0936,3.0987,619995.1,1919933.93289
2025-08-17 04:15:00+08:00,3.0987,3.106,3.0987,3.1012,347653.4,1078756.80335
2025-08-17 04:30:00+08:00,3.1012,3.1044,3.1001,3.1012,259394.5,804714.93131
2025-08-17 04:45:00+08:00,3.1012,3.1027,3.0986,3.1025,327535.6,1015632.35065
2025-08-17 05:00:00+08:00,3.1025,3.1032,3.0943,3.0946,360337.1,1116156.7005
2025-08-17 05:15:00+08:00,3.0946,3.099,3.0944,3.0987,414120,1282543.64545
2025-08-17 05:30:00+08:00,3.0987,3.0994,3.0933,3.0938,330357.6,1022369.61419
2025-08-17 05:45:00+08:00,3.0938,3.0956,3.0922,3.0928,283694.3,877804.98852
2025-08-17 06:00:00+08:00,3.0928,3.0979,3.089,3.0948,2206781.9,6824682.50264
2025-08-17 06:15:00+08:00,3.0948,3.0981,3.0943,3.0979,300092.5,929381.72848
2025-08-17 06:30:00+08:00,3.0979,3.1043,3.0976,3.1024,516584.1,1602288.55617
2025-08-17 06:45:00+08:00,3.1024,3.1076,3.1016,3.1045,523807.4,1626634.69511
2025-08-17 07:00:00+08:00,3.1045,3.1057,3.1006,3.1034,344998,1070596.15922
2025-08-17 07:15:00+08:00,3.1034,3.1058,3.0995,3.1,702693.3,2179810.61902
2025-08-17 07:30:00+08:00,3.1,3.1008,3.098,3.0991,420238.3,1302450.72501
2025-08-17 07:45:00+08:00,3.0991,3.1054,3.0986,3.1038,311965.3,968131.74047
2025-08-17 08:00:00+08:00,3.1038,3.1038,3.0985,3.0985,438486.1,1359543.07587
2025-08-17 08:15:00+08:00,3.0985,3.1008,3.0952,3.0966,839752.4,2600734.75104
2025-08-17 08:30:00+08:00,3.0966,3.1009,3.0942,3.0966,490898.8,1519809.32484
2025-08-17 08:45:00+08:00,3.0966,3.0966,3.0911,3.0911,839947.9,2598052.79755
2025-08-17 09:00:00+08:00,3.0911,3.0912,3.0811,3.0871,2875371.5,8873597.87537
2025-08-17 09:15:00+08:00,3.0871,3.0876,3.0816,3.0839,1050647.6,3240884.11859
2025-08-17 09:30:00+08:00,3.0839,3.1022,3.0819,3.0967,2481779,7683150.83674
2025-08-17 09:45:00+08:00,3.0967,3.1048,3.0948,3.1035,1010709.5,3133966.75877
2025-08-17 10:00:00+08:00,3.1035,3.1084,3.0935,3.0956,1268288.4,3938281.00297
2025-08-17 10:15:00+08:00,3.0956,3.1067,3.0918,3.1062,971538.1,3011462.65876
2025-08-17 10:30:00+08:00,3.1062,3.1165,3.1023,3.1156,1854132.2,5765308.46502
2025-08-17 10:45:00+08:00,3.1156,3.1198,3.111,3.1187,2506814.9,7812139.53422
2025-08-17 11:00:00+08:00,3.1187,3.1198,3.1146,3.1151,1502733.7,4684773.23421
2025-08-17 11:15:00+08:00,3.1151,3.1175,3.1119,3.115,730413.5,2274910.67466
2025-08-17 11:30:00+08:00,3.115,3.1228,3.1127,3.1224,1045488.1,3261222.02405
2025-08-17 11:45:00+08:00,3.1224,3.1226,3.1181,3.1189,766892.1,2393018.65593
2025-08-17 12:00:00+08:00,3.1189,3.1264,3.1179,3.1233,1103505.7,3446887.79758
2025-08-17 12:15:00+08:00,3.1233,3.127,3.1211,3.1248,1073550,3354112.27944
2025-08-17 12:30:00+08:00,3.1248,3.1265,3.1199,3.1221,982547.3,3068661.90035
2025-08-17 12:45:00+08:00,3.1221,3.134,3.1203,3.1328,2234102.6,6992896.27728
2025-08-17 13:00:00+08:00,3.1328,3.1364,3.1306,3.1363,1195081.3,3745162.12395
2025-08-17 13:15:00+08:00,3.1363,3.1378,3.131,3.1339,1000438.1,3135685.03105
2025-08-17 13:30:00+08:00,3.1339,3.134,3.1249,3.1253,972461.2,3042071.5195
2025-08-17 13:45:00+08:00,3.1253,3.1286,3.12,3.1204,1058528.8,3305897.03754
2025-08-17 14:00:00+08:00,3.1204,3.1266,3.1204,3.1266,592739,1851719.04048
2025-08-17 14:15:00+08:00,3.1266,3.127,3.1215,3.1252,534046.5,1668560.59355
2025-08-17 14:30:00+08:00,3.1252,3.1252,3.1158,3.1203,1764783.6,5504064.89474
2025-08-17 14:45:00+08:00,3.1203,3.1206,3.1126,3.1136,1284409.5,4001083.28595
2025-08-17 15:00:00+08:00,3.1136,3.1199,3.1101,3.1197,937400.4,2918992.20494
2025-08-17 15:15:00+08:00,3.1197,3.1203,3.1131,3.1142,501829.8,1564539.01475
2025-08-17 15:30:00+08:00,3.1142,3.1174,3.1107,3.1168,823107.7,2563192.66606
2025-08-17 15:45:00+08:00,3.1168,3.1196,3.1152,3.1162,696207.8,2170011.76955
2025-08-17 16:00:00+08:00,3.1162,3.1178,3.1103,3.1117,651230.9,2027295.288
2025-08-17 16:15:00+08:00,3.1117,3.1144,3.1103,3.1143,567477,1766484.47839
2025-08-17 16:30:00+08:00,3.1143,3.1245,3.1143,3.1225,1438793.3,4490003.6659
2025-08-17 16:45:00+08:00,3.1225,3.1403,3.1225,3.136,4816802.1,15094499.22555
2025-08-17 17:00:00+08:00,3.136,3.138,3.1293,3.1294,5745415.2,18002865.45384
2025-08-17 17:15:00+08:00,3.1294,3.1294,3.1212,3.123,1379408.9,4312384.00444
2025-08-17 17:30:00+08:00,3.123,3.1256,3.1176,3.1188,1507583.8,4706602.7909
2025-08-17 17:45:00+08:00,3.1188,3.1309,3.1182,3.1309,1340672.7,4188548.32894
2025-08-17 18:00:00+08:00,3.1309,3.1363,3.1239,3.1289,1970056.9,6166587.8166
2025-08-17 18:15:00+08:00,3.1289,3.1325,3.1233,3.1235,938767.2,2935950.58163
2025-08-17 18:30:00+08:00,3.1235,3.1265,3.1212,3.1265,1048808.2,3275937.66622
2025-08-17 18:45:00+08:00,3.1265,3.1269,3.121,3.1261,1206151.7,3766843.56066
2025-08-17 19:00:00+08:00,3.1261,3.1262,3.1219,3.1228,682330.7,2131627.27116
2025-08-17 19:15:00+08:00,3.1228,3.1303,3.1224,3.1302,869835.6,2719935.48194
2025-08-17 19:30:00+08:00,3.1302,3.1315,3.1266,3.1282,778668,2436659.0705
2025-08-17 19:45:00+08:00,3.1282,3.1316,3.1265,3.1273,700260.6,2191019.02808
2025-08-17 20:00:00+08:00,3.1273,3.1278,3.1227,3.1231,787094.9,2459489.09827
2025-08-17 20:15:00+08:00,3.1231,3.1231,3.1143,3.1151,1840717.5,5739046.66119
2025-08-17 20:30:00+08:00,3.1151,3.1193,3.1131,3.1163,1951882.2,6081764.9362
2025-08-17 20:45:00+08:00,3.1163,3.118,3.1148,3.1172,1187807,3701802.98288
2025-08-17 21:00:00+08:00,3.1172,3.1175,3.1133,3.1146,856402.2,2667665.68156
